,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
373,tahoua,45,NE,1580062388,4,14.89,5.27,82.4,16.11
374,kastamonu,58,TR,1580062389,87,41.5,33.67,30.31,2.19
375,khani,3,GE,1580062389,80,41.96,42.96,33.8,2.24
376,tomatlan,60,MX,1580062389,42,19.93,-105.25,84.27,2.59
377,namtsy,91,RU,1580062389,66,62.72,129.67,-32.8,6.71
378,veracruz,40,MX,1580062389,69,19.33,-96.67,82,3.36
379,inirida,69,CO,1580062389,45,3.87,-67.92,94.89,1.61
380,novokayakent,40,RU,1580062389,80,42.39,47.99,41,24.61
381,morondava,98,MG,1580062389,88,-20.28,44.28,76.93,1.68
382,shenzhen,40,CN,1580062389,71,22.55,114.07,57,14.99
383,trincomalee,100,LK,1580062390,88,8.57,81.23,69.49,1.32
384,okha,17,RU,1580062390,81,53.57,142.95,-9.38,21
385,katsuura,75,JP,1580062390,61,35.13,140.3,44.6,10.29
386,watsa,67,CD,1580062390,34,3.04,29.54,73.98,2.51
387,caravelas,100,BR,1580062390,81,-17.71,-39.25,78.91,14
388,ponta delgada,75,PT,1580062390,100,37.73,-25.67,59,16.11
